Country	Latitude(y)	Longitude(x)
Saint_Vincent_and_the_Grenadines	12.98431	-61.2872
Samoa	-13.759	-172.105
San_Marino	43.94236	12.45778
Sao_Tome_and_Principe	0.18636	6.613081
Saudi_Arabia	23.88594	45.07916
Senegal	14.4974	-14.4524
Serbia	44.01652	21.00586
Seychelles	-4.67957	55.49198
Sierra_Leone	8.460555	-11.7799
Singapore	1.352083	103.8198
Slovakia	48.66903	19.69902
Slovenia	46.15124	14.99546
Solomon_Islands	-9.64571	160.1562
Somalia	5.152149	46.19962
South_Africa	-30.5595	22.93751
South_Georgia_and_the_South_Sandwich_Islands	-54.4296	-36.5879
South_Korea	35.90776	127.7669
Korea	35.90776	127.7669
Spain	40.46367	-3.74922
Sri_Lanka	7.873054	80.7718
Sudan	12.86281	30.21764
Suriname	3.919305	-56.0278
Svalbard_and_Jan_Mayen	77.5536	23.67027
Sweden	60.12816	18.6435
Switzerland	46.81819	8.227512
Syria	34.80208	38.99682
Taiwan	23.69781	120.9605
Tajikistan	38.86103	71.27609
Tanzania	-6.36903	34.88882
Thailand	15.87003	100.9925
Timor-Leste	-8.87422	125.7275
Togo	8.619543	0.824782
Tokelau	-8.96736	-171.856
Tonga	-21.179	-175.198
Trinidad_and_Tobago	10.6918	-61.2225
Tunisia	33.88692	9.537499
Turkey	38.96375	35.24332
Turkmenistan	38.96972	59.55628
Turks_and_Caicos_Islands	21.69403	-71.7979
Tuvalu	-7.10954	177.6493
U.S._Virgin_Islands	18.33577	-64.8963
Uganda	1.373333	32.29028
Ukraine	48.37943	31.16558
United_Arab_Emirates	23.42408	53.84782
United_Kingdom	55.37805	-3.43597
Uruguay	-32.5228	-55.7658
USA	37.09024	-95.7129
UAE	23.42408	53.84782
Uzbekistan	41.37749	64.58526
Vanuatu	-15.3767	166.9592
Vatican_City	41.90292	12.45339
Venezuela	6.42375	-66.5897
Viet_Nam	14.05832	108.2772
Wallis_and_Futuna	-13.7688	-177.156
Western_Sahara	24.21553	-12.8858
Yemen	15.55273	48.51639
Zambia	-13.1339	27.84933
Zimbabwe	-19.0154	29.15486
DR_Congo	-0.22802	15.82766
Trinidad_and_Tobago	10.691803	-61.222503
Democratic_Republic_of_the_Congo	15.82766	-0.22802
